student_id,name,gender,class,section,school,zone,district,state,phone,address,attendance,math_score,science_score,language_score,meal_participation,distance_km,sibling_dropout,family_income,parent_education,engagement_score,dropout_reason,dropout_risk,location_type
32,Shalini,Female,8,C,GHSS Ponneri,North Zone,Tiruvallur,Tamil Nadu,+91-79376-82667,"33, Ponneri Cross Street",67,98,70,48,yes,4.1,no,medium,primary,79,None reported,0,Village
33,Sowmya,Female,9,C,GHSS Tambaram,North Zone,Chengalpattu,Tamil Nadu,+91-98009-89516,"168, Tambaram Nagar",54,71,75,49,yes,6.8,yes,medium,primary,78,Early work pressure,1,City
34,Indira,Female,9,C,GHSS Chengalpattu Town,North Zone,Chengalpattu,Tamil Nadu,+91-78598-77561,"170, Chengalpattu Town Avenue",80,76,91,61,yes,11.5,no,medium,secondary,57,None reported,0,Village
35,Pooja,Female,7,C,GHSS Thoothukudi,South Zone,Thoothukudi,Tamil Nadu,+91-89846-64321,"227, Thoothukudi Avenue",48,37,49,63,yes,0.8,yes,low,none,64,Long travel distance,1,Village
36,Kumaran,Male,9,B,GHSS Thillai Nagar,Central Zone,Trichy,Tamil Nadu,+91-66985-65724,"57, Thillai Nagar Cross Street",84,60,82,60,yes,0.6,no,low,secondary,100,None reported,0,Village
37,Lakshmi,Female,10,A,GHSS Ponneri,North Zone,Tiruvallur,Tamil Nadu,+91-89004-90301,"209, Ponneri Avenue",83,46,40,73,yes,8.2,no,medium,secondary,64,None reported,0,Village
38,Kowsalya,Female,9,A,GHSS Sirkazhi,Central Zone,Nagapattinam,Tamil Nadu,+91-91758-92149,"62, Sirkazhi Nagar",84,70,57,52,yes,10.2,no,medium,secondary,46,None reported,0,City
39,Anitha,Female,8,A,GHSS Tirunelveli Town,South Zone,Tirunelveli,Tamil Nadu,+91-70014-38043,"17, Tirunelveli Town Colony",60,71,57,41,yes,1.4,yes,low,graduate,65,None reported,0,Village
40,Vanitha,Female,10,B,GHSS Thanjavur,Central Zone,Thanjavur,Tamil Nadu,+91-61280-85456,"98, Thanjavur Colony",77,44,60,65,no,5.0,no,low,secondary,50,None reported,0,Village
41,Hari,Male,8,B,GHSS Thanjavur,Central Zone,Thanjavur,Tamil Nadu,+91-77887-67125,"125, Thanjavur Main Road",79,71,77,82,yes,9.7,no,medium,secondary,48,None reported,0,Village
42,Vanitha,Female,9,C,GHSS Sriperumbudur,North Zone,Kancheepuram,Tamil Nadu,+91-98790-83975,"170, Sriperumbudur Main Road",59,71,67,73,no,11.8,no,medium,graduate,100,None reported,0,Village
43,Balaji,Male,9,A,GHSS Nagapattinam,Central Zone,Nagapattinam,Tamil Nadu,+91-84846-46471,"193, Nagapattinam Colony",80,80,74,74,yes,4.3,no,low,primary,61,None reported,0,City
44,Pooja,Female,9,A,GHSS Salem Town,West Zone,Salem,Tamil Nadu,+91-62033-42411,"52, Salem Town Main Road",78,42,50,53,no,3.1,yes,low,graduate,64,Economic hardship,1,City
45,Prasad,Male,7,B,GHSS Chidambaram,East Zone,Cuddalore,Tamil Nadu,+91-99707-89593,"192, Chidambaram Main Road",100,23,66,36,yes,5.8,no,low,graduate,57,None reported,0,Village
46,Ashwin,Male,6,C,GHSS Adyar,North Zone,Chennai,Tamil Nadu,+91-72997-19961,"152, Adyar Cross Street",90,62,40,54,no,10.9,no,high,primary,77,None reported,0,City
47,Tamil,Male,8,C,GHSS Tirupur,West Zone,Tirupur,Tamil Nadu,+91-64519-76317,"166, Tirupur Nagar",58,61,56,52,yes,7.0,yes,medium,secondary,94,Seasonal migration,1,Village
48,Nandha,Male,9,B,GHSS Avadi,North Zone,Tiruvallur,Tamil Nadu,+91-94193-95256,"70, Avadi Avenue",77,20,58,51,yes,10.8,no,low,primary,75,Household responsibilities,1,City
49,Kamala,Female,9,C,GHSS Gobichettipalayam,West Zone,Erode,Tamil Nadu,+91-90455-84691,"157, Gobichettipalayam Colony",51,50,60,72,no,10.1,yes,low,graduate,44,Low academic confidence,1,Village
50,Priya,Female,9,B,GHSS Tambaram,North Zone,Chengalpattu,Tamil Nadu,+91-78105-82848,"3, Tambaram Avenue",72,56,50,96,yes,3.5,no,medium,primary,75,None reported,0,City
51,Vijay,Male,7,C,GHSS Thanjavur,Central Zone,Thanjavur,Tamil Nadu,+91-61130-22196,"76, Thanjavur Cross Street",55,78,95,82,yes,8.4,no,medium,secondary,46,None reported,0,Village
52,Kalpana,Female,7,B,GHSS Chidambaram,East Zone,Cuddalore,Tamil Nadu,+91-81678-56112,"180, Chidambaram Colony",66,84,47,72,yes,6.6,no,medium,primary,78,None reported,0,Village
53,Thulasi,Female,8,A,GHSS Ponneri,North Zone,Tiruvallur,Tamil Nadu,+91-72552-38361,"190, Ponneri Colony",60,60,10,49,yes,9.0,no,medium,primary,64,None reported,0,City
54,Jeyanthi,Female,10,C,GHSS Tirupur,West Zone,Tirupur,Tamil Nadu,+91-95005-26591,"71, Tirupur Main Road",43,81,26,51,yes,2.7,yes,low,none,62,Economic hardship,1,Village
55,Saravanan,Male,8,C,GHSS Tiruvallur Town,North Zone,Tiruvallur,Tamil Nadu,+91-91373-67733,"88, Tiruvallur Town Cross Street",94,35,78,65,yes,1.7,yes,medium,secondary,53,None reported,0,Village
56,Rajesh,Male,9,A,GHSS Ambattur,North Zone,Chennai,Tamil Nadu,+91-79912-21164,"64, Ambattur Main Road",64,52,37,57,yes,7.7,yes,low,none,52,Peer influence,1,Village
57,Abinaya,Female,10,C,GHSS Madurai East,South Zone,Madurai,Tamil Nadu,+91-88103-50026,"146, Madurai East Avenue",75,73,86,45,yes,10.9,no,medium,primary,97,None reported,0,City
58,Shankar,Male,6,A,GHSS Rasipuram,West Zone,Namakkal,Tamil Nadu,+91-86772-69048,"177, Rasipuram Avenue",37,53,64,65,yes,2.3,yes,low,secondary,54,Economic hardship,1,Village
59,Sangeetha,Female,6,A,GHSS Palayamkottai,South Zone,Tirunelveli,Tamil Nadu,+91-98652-96662,"206, Palayamkottai Cross Street",70,52,49,79,no,5.7,no,medium,secondary,72,None reported,0,City
60,Nisha,Female,10,A,GHSS Cuddalore,East Zone,Cuddalore,Tamil Nadu,+91-97303-47828,"113, Cuddalore Main Road",56,72,59,74,no,2.1,yes,low,primary,72,Peer influence,1,City
61,Kalpana,Female,8,C,GHSS Thillai Nagar,Central Zone,Trichy,Tamil Nadu,+91-81123-89129,"65, Thillai Nagar Main Road",56,47,68,72,yes,6.2,yes,high,primary,64,Early work pressure,1,Village
62,Naveen,Male,10,C,GHSS Adyar,North Zone,Chennai,Tamil Nadu,+91-90834-78021,"167, Adyar Colony",74,83,48,73,yes,3.6,yes,high,secondary,64,None reported,0,City
63,Gayathri,Female,10,B,GHSS Rasipuram,West Zone,Namakkal,Tamil Nadu,+91-66855-31079,"85, Rasipuram Colony",70,81,73,78,yes,5.9,no,medium,graduate,85,None reported,0,City
64,Sangeetha,Female,9,C,GHSS Velachery,North Zone,Chennai,Tamil Nadu,+91-93724-10150,"169, Velachery Avenue",78,77,56,73,yes,4.2,no,medium,primary,68,None reported,0,Village
65,Eswari,Female,6,A,GHSS Singanallur,West Zone,Coimbatore,Tamil Nadu,+91-68586-47752,"113, Singanallur Colony",69,67,41,95,yes,7.7,no,low,secondary,49,Lack of interest,1,City
66,Arun,Male,10,A,GHSS Perambalur,East Zone,Perambalur,Tamil Nadu,+91-90241-25396,"166, Perambalur Cross Street",44,73,64,68,no,6.9,yes,low,primary,69,Long travel distance,1,City
67,Vaishali,Female,8,C,GHSS Perambalur,East Zone,Perambalur,Tamil Nadu,+91-72491-88561,"131, Perambalur Cross Street",62,36,52,48,yes,11.8,yes,low,secondary,74,Early work pressure,1,Village
68,Sathish,Male,9,B,GHSS Gandhipuram,West Zone,Coimbatore,Tamil Nadu,+91-69738-68529,"138, Gandhipuram Colony",60,38,46,65,yes,8.8,no,low,none,53,Family relocation,1,Village
69,Vanitha,Female,10,C,GHSS Srirangam,Central Zone,Trichy,Tamil Nadu,+91-75306-63841,"12, Srirangam Nagar",65,69,66,59,yes,2.7,no,medium,primary,63,None reported,0,Village
70,Vaishali,Female,9,B,GHSS Chidambaram,East Zone,Cuddalore,Tamil Nadu,+91-98678-53515,"223, Chidambaram Main Road",81,38,38,56,yes,2.2,no,medium,secondary,67,None reported,0,Village
71,Sneha,Female,10,B,GHSS Thiruvanmiyur,North Zone,Chennai,Tamil Nadu,+91-77368-54375,"160, Thiruvanmiyur Colony",73,84,70,60,yes,8.0,yes,medium,primary,64,None reported,0,City
72,Nandha,Male,8,C,GHSS Salem Town,West Zone,Salem,Tamil Nadu,+91-64484-40771,"162, Salem Town Nagar",52,56,50,67,no,8.8,no,low,primary,52,Economic hardship,1,City
73,Gokul,Male,6,B,GHSS Avadi,North Zone,Tiruvallur,Tamil Nadu,+91-61897-16028,"84, Avadi Main Road",80,88,56,71,yes,1.7,yes,medium,secondary,76,None reported,0,City
74,Yamuna,Female,8,B,GHSS Kancheepuram,North Zone,Kancheepuram,Tamil Nadu,+91-85070-91226,"175, Kancheepuram Cross Street",56,57,51,60,yes,8.3,yes,low,primary,50,Peer influence,1,City
75,Mythili,Female,7,A,GHSS Nagapattinam,Central Zone,Nagapattinam,Tamil Nadu,+91-78850-98815,"140, Nagapattinam Cross Street",74,70,83,80,yes,8.2,no,medium,primary,97,None reported,0,Village
76,Anand,Male,8,C,GHSS Thoothukudi,South Zone,Thoothukudi,Tamil Nadu,+91-85211-73335,"28, Thoothukudi Cross Street",66,80,65,100,yes,3.4,no,medium,primary,58,None reported,0,City
77,Hema,Female,8,C,GHSS Palayamkottai,South Zone,Tirunelveli,Tamil Nadu,+91-97088-99889,"200, Palayamkottai Main Road",61,51,23,57,yes,11.7,no,high,primary,56,None reported,0,Village
78,Sangeetha,Female,7,C,GHSS Sivakasi,South Zone,Virudhunagar,Tamil Nadu,+91-68963-92345,"25, Sivakasi Main Road",69,62,86,76,yes,3.4,no,low,none,55,None reported,0,City
79,Indira,Female,6,C,GHSS Trichy Fort,Central Zone,Trichy,Tamil Nadu,+91-68661-80701,"225, Trichy Fort Nagar",59,69,36,94,yes,3.9,no,medium,none,83,None reported,0,Village
80,Deepika,Female,8,B,GHSS Palayamkottai,South Zone,Tirunelveli,Tamil Nadu,+91-74785-98647,"186, Palayamkottai Colony",70,34,85,66,yes,1.8,no,medium,primary,87,None reported,0,City
81,Pooja,Female,9,A,GHSS Thirumangalam,South Zone,Madurai,Tamil Nadu,+91-67100-98452,"60, Thirumangalam Colony",50,51,59,66,yes,8.2,no,medium,primary,61,Seasonal migration,1,City
82,Shankar,Male,10,B,GHSS Namakkal,West Zone,Namakkal,Tamil Nadu,+91-67646-28320,"12, Namakkal Main Road",72,33,49,60,yes,10.0,no,low,none,68,Early work pressure,1,Village
83,Dhivya,Female,6,A,GHSS Madurai West,South Zone,Madurai,Tamil Nadu,+91-95402-64935,"151, Madurai West Cross Street",79,37,29,83,yes,5.7,no,high,none,69,None reported,0,City
84,Ramya,Female,6,B,GHSS Namakkal,West Zone,Namakkal,Tamil Nadu,+91-75473-57537,"26, Namakkal Nagar",60,88,59,83,yes,0.9,no,low,graduate,67,None reported,0,Village
85,Lakshmi,Female,9,B,GHSS Chromepet,North Zone,Chengalpattu,Tamil Nadu,+91-99134-12799,"13, Chromepet Nagar",99,89,51,78,yes,10.0,yes,high,graduate,73,None reported,0,Village
86,Karthik,Male,10,A,GHSS Ambattur,North Zone,Chennai,Tamil Nadu,+91-69670-88116,"1, Ambattur Nagar",94,44,70,82,yes,7.2,no,medium,primary,42,None reported,0,City
87,Karthik,Male,10,B,GHSS Tambaram,North Zone,Chengalpattu,Tamil Nadu,+91-81218-12068,"45, Tambaram Nagar",54,23,53,75,no,2.0,no,low,graduate,87,Peer influence,1,City
88,Karthik,Male,9,C,GHSS Ponneri,North Zone,Tiruvallur,Tamil Nadu,+91-93019-39038,"158, Ponneri Main Road",75,91,35,38,yes,9.4,no,medium,primary,66,None reported,0,Village
89,Kamala,Female,6,A,GHSS Sirkazhi,Central Zone,Nagapattinam,Tamil Nadu,+91-65294-52219,"156, Sirkazhi Cross Street",83,64,26,66,yes,1.7,no,medium,primary,51,None reported,0,City
90,Karthik,Male,8,C,GHSS Rasipuram,West Zone,Namakkal,Tamil Nadu,+91-93131-89354,"111, Rasipuram Main Road",88,71,46,59,yes,4.9,no,medium,secondary,55,None reported,0,City
91,Nandha,Male,10,C,GHSS Chengalpattu Town,North Zone,Chengalpattu,Tamil Nadu,+91-66231-50966,"110, Chengalpattu Town Nagar",67,74,38,70,yes,5.3,no,low,graduate,56,None reported,0,Village
92,Bhavani,Female,7,C,GHSS Sirkazhi,Central Zone,Nagapattinam,Tamil Nadu,+91-96462-17861,"151, Sirkazhi Avenue",55,54,36,52,no,1.6,yes,low,secondary,46,Household responsibilities,1,Village
93,Sowmya,Female,6,B,GHSS Sivakasi,South Zone,Virudhunagar,Tamil Nadu,+91-78850-88696,"80, Sivakasi Nagar",100,62,47,69,yes,5.4,no,high,graduate,66,None reported,0,Village
94,Thirumurugan,Male,10,A,GHSS Kancheepuram,North Zone,Kancheepuram,Tamil Nadu,+91-78256-85248,"58, Kancheepuram Colony",69,72,71,56,yes,1.7,no,medium,none,58,None reported,0,Village
95,Karthi,Male,8,A,GHSS Tambaram,North Zone,Chengalpattu,Tamil Nadu,+91-97114-96159,"103, Tambaram Main Road",63,15,29,83,yes,11.1,no,low,secondary,87,Household responsibilities,1,Village
96,Gokul,Male,6,A,GHSS Singanallur,West Zone,Coimbatore,Tamil Nadu,+91-97197-88148,"22, Singanallur Main Road",68,70,63,100,yes,4.4,no,low,primary,82,None reported,0,City
97,Arjun,Male,10,A,GHSS Villupuram,East Zone,Villupuram,Tamil Nadu,+91-93577-24918,"89, Villupuram Colony",66,39,27,65,yes,5.4,no,low,primary,53,Low academic confidence,1,Village
98,Venkat,Male,10,B,GHSS Singanallur,West Zone,Coimbatore,Tamil Nadu,+91-73843-27987,"196, Singanallur Nagar",51,49,40,91,yes,5.0,no,medium,none,79,Health issues,1,City
99,Uma,Female,6,A,GHSS RS Puram,West Zone,Coimbatore,Tamil Nadu,+91-83210-19447,"102, RS Puram Main Road",72,87,59,51,yes,4.9,no,medium,none,88,None reported,0,City
100,Priya,Female,9,A,GHSS Kovilpatti,South Zone,Thoothukudi,Tamil Nadu,+91-61366-52568,"44, Kovilpatti Avenue",82,43,55,51,yes,8.7,no,medium,primary,48,None reported,0,City
101,Kalpana,Female,8,A,GHSS Kumbakonam,Central Zone,Thanjavur,Tamil Nadu,+91-80334-54500,"57, Kumbakonam Nagar",82,92,31,71,yes,7.3,no,medium,none,55,None reported,0,Village
102,Ajay,Male,10,C,GHSS Ponneri,North Zone,Tiruvallur,Tamil Nadu,+91-75484-23474,"38, Ponneri Nagar",61,47,41,63,no,9.4,no,medium,none,52,Household responsibilities,1,Village
103,Siddharth,Male,10,A,GHSS Cuddalore,East Zone,Cuddalore,Tamil Nadu,+91-97976-68838,"175, Cuddalore Avenue",72,56,50,47,yes,7.7,no,low,graduate,55,None reported,0,Village
104,Archana,Female,8,A,GHSS Pudukkottai,Central Zone,Pudukkottai,Tamil Nadu,+91-93248-19724,"80, Pudukkottai Colony",83,69,41,65,yes,4.0,no,low,primary,76,None reported,0,Village
105,Divya,Female,6,B,GHSS Palayamkottai,South Zone,Tirunelveli,Tamil Nadu,+91-98032-82655,"203, Palayamkottai Main Road",42,66,43,71,yes,10.3,no,low,graduate,53,Family relocation,1,Village
106,Hema,Female,7,B,GHSS Tirupur,West Zone,Tirupur,Tamil Nadu,+91-65526-76132,"166, Tirupur Cross Street",40,27,55,66,no,1.2,yes,medium,none,51,Seasonal migration,1,City
107,Prasad,Male,9,B,GHSS Singanallur,West Zone,Coimbatore,Tamil Nadu,+91-82175-98984,"154, Singanallur Main Road",82,31,57,45,yes,4.8,no,medium,none,57,None reported,0,Village
108,Anitha,Female,8,A,GHSS Attur,West Zone,Salem,Tamil Nadu,+91-69854-53694,"21, Attur Avenue",74,46,52,81,no,8.8,no,medium,primary,59,None reported,0,City
109,Hari,Male,8,C,GHSS Tindivanam,East Zone,Villupuram,Tamil Nadu,+91-68375-97833,"180, Tindivanam Avenue",76,33,61,82,yes,8.7,yes,medium,none,26,Seasonal migration,1,City
110,Balaji,Male,9,C,GHSS Trichy Fort,Central Zone,Trichy,Tamil Nadu,+91-74846-28030,"40, Trichy Fort Main Road",56,67,51,67,no,11.4,no,low,primary,55,Low academic confidence,1,Village
111,Sneha,Female,10,C,GHSS Singanallur,West Zone,Coimbatore,Tamil Nadu,+91-71851-91885,"208, Singanallur Cross Street",64,50,71,63,yes,9.3,yes,low,primary,65,Household responsibilities,1,City
112,Divya,Female,9,B,GHSS Villupuram,East Zone,Villupuram,Tamil Nadu,+91-75335-79993,"62, Villupuram Nagar",67,53,51,71,yes,7.5,no,medium,graduate,61,None reported,0,City
113,Janani,Female,8,C,GHSS Erode,West Zone,Erode,Tamil Nadu,+91-70620-36174,"206, Erode Avenue",82,100,76,62,yes,3.7,no,high,primary,86,None reported,0,City
114,Rajesh,Male,6,C,GHSS Sirkazhi,Central Zone,Nagapattinam,Tamil Nadu,+91-78681-20993,"196, Sirkazhi Cross Street",71,28,44,38,no,1.7,no,high,primary,65,None reported,0,City
115,Indira,Female,10,A,GHSS Kumbakonam,Central Zone,Thanjavur,Tamil Nadu,+91-63490-61964,"129, Kumbakonam Nagar",68,87,60,58,no,9.9,no,low,graduate,75,Early work pressure,1,City
116,Mohan,Male,6,B,GHSS Madurai East,South Zone,Madurai,Tamil Nadu,+91-62510-47601,"235, Madurai East Colony",34,61,68,38,no,10.2,no,low,graduate,80,Household responsibilities,1,Village
117,Nishanth,Male,9,B,GHSS Namakkal,West Zone,Namakkal,Tamil Nadu,+91-94588-65476,"29, Namakkal Nagar",72,48,65,97,yes,3.4,no,low,none,65,Peer influence,1,City
118,Ashwin,Male,6,A,GHSS Madurai West,South Zone,Madurai,Tamil Nadu,+91-95130-12154,"162, Madurai West Avenue",66,44,37,72,no,5.8,yes,low,secondary,49,Peer influence,1,City
119,Kumaran,Male,7,B,GHSS Kumbakonam,Central Zone,Thanjavur,Tamil Nadu,+91-83632-18870,"135, Kumbakonam Avenue",64,44,59,64,yes,7.1,yes,low,primary,75,Lack of interest,1,City
120,Mohan,Male,9,A,GHSS Rasipuram,West Zone,Namakkal,Tamil Nadu,+91-66793-86271,"189, Rasipuram Nagar",60,52,38,54,yes,9.1,no,low,primary,69,Low academic confidence,1,Village
121,Kumar,Male,8,C,GHSS Virudhunagar,South Zone,Virudhunagar,Tamil Nadu,+91-71945-27675,"17, Virudhunagar Colony",80,41,70,84,yes,9.5,no,medium,none,70,None reported,0,City
122,Venkat,Male,7,A,GHSS Chromepet,North Zone,Chengalpattu,Tamil Nadu,+91-91024-43202,"10, Chromepet Cross Street",100,51,40,39,no,4.1,no,high,primary,90,None reported,0,Village
123,Yamuna,Female,6,C,GHSS Virudhunagar,South Zone,Virudhunagar,Tamil Nadu,+91-85339-54438,"48, Virudhunagar Colony",77,55,59,43,yes,5.5,no,low,secondary,98,None reported,0,City
124,Bhavani,Female,10,B,GHSS Guindy,North Zone,Chennai,Tamil Nadu,+91-81050-23447,"21, Guindy Nagar",70,59,68,70,yes,7.4,no,medium,none,67,None reported,0,City
125,Thulasi,Female,9,C,GHSS Perambalur,East Zone,Perambalur,Tamil Nadu,+91-88504-45986,"164, Perambalur Main Road",55,64,86,82,no,4.5,yes,low,secondary,85,Seasonal migration,1,City
126,Santhosh,Male,9,B,GHSS Gandhipuram,West Zone,Coimbatore,Tamil Nadu,+91-62280-26545,"18, Gandhipuram Cross Street",61,39,53,63,yes,11.5,yes,medium,secondary,79,Family relocation,1,Village
127,Bhavani,Female,9,C,GHSS Velachery,North Zone,Chennai,Tamil Nadu,+91-97612-28047,"136, Velachery Nagar",48,89,56,58,no,11.4,no,medium,secondary,53,None reported,0,Village
128,Uma,Female,8,A,GHSS Ponneri,North Zone,Tiruvallur,Tamil Nadu,+91-89246-38124,"157, Ponneri Nagar",38,67,52,38,yes,6.5,no,low,none,42,Health issues,1,Village
129,Janani,Female,6,A,GHSS Ambattur,North Zone,Chennai,Tamil Nadu,+91-80944-97535,"89, Ambattur Main Road",63,87,51,38,yes,5.6,yes,medium,graduate,61,None reported,0,Village
130,Thulasi,Female,7,C,GHSS Perambalur,East Zone,Perambalur,Tamil Nadu,+91-73171-28202,"61, Perambalur Colony",69,13,58,61,yes,9.6,no,high,secondary,77,None reported,0,Village
131,Jagan,Male,10,C,GHSS Trichy Fort,Central Zone,Trichy,Tamil Nadu,+91-86093-72739,"135, Trichy Fort Colony",100,85,57,50,yes,2.0,no,medium,graduate,100,None reported,0,City
132,Hema,Female,6,A,GHSS Kovilpatti,South Zone,Thoothukudi,Tamil Nadu,+91-96130-93859,"151, Kovilpatti Cross Street",74,62,58,68,no,8.3,no,medium,primary,65,None reported,0,City
133,Vikram,Male,10,A,GHSS Ponneri,North Zone,Tiruvallur,Tamil Nadu,+91-94006-47230,"217, Ponneri Main Road",69,55,61,59,yes,2.4,no,medium,primary,60,None reported,0,Village
